DateTime,Entries,UniqueIPs
1639471230,6479,6511
1639471949,6483,6515
1639472671,6483,6515
1639473391,6481,6513
1639474112,6482,6514
1639474828,6483,6515
1639475553,6479,6511
1639476271,6481,6513
1639476989,6485,6517
1639477708,6488,6520
1639478428,6493,6525
1639479146,6495,6527
1639479779,6499,6531
1639480568,6504,6536
1639481285,6504,6536
1639482008,6508,6540
1639482730,6512,6544
1639483449,6513,6544
1639484168,6511,6542
1639485128,6511,6542
1639485846,6511,6542
1639486568,6516,6547
1639487531,6516,6547
1639488248,6518,6549
1639488972,6520,6551
1639489687,6521,6552
1639490425,6522,6553
1639491125,6516,6547
1639491847,6516,6547
1639492810,6521,6552
1639493768,6521,6552
1639494486,6520,6551
1639495205,6522,6553
1639495926,6522,6553
1639496651,6523,6554
1639497365,6527,6558
1639498327,6519,6550
1639499048,6522,6553
1639499770,6524,6555
1639500487,6522,6553
1639501206,6523,6554
1639501925,6524,6555
1639502673,6527,6558
1639503392,6535,6567
1639504108,6533,6565
1639505073,6522,6554
1639505787,6528,6560
1639506509,6526,6558
1639507227,6529,6561
1639507947,6527,6559
1639508669,6523,6555
1639509388,6523,6555
1639510108,6522,6554
1639510827,6519,6551
1639511547,6522,6554
1639512270,6520,6552
1639512989,6521,6553
1639513707,6522,6554
1639514671,6522,6554
1639515387,6529,6561
1639516109,6528,6561
1639516832,6531,6564
1639517547,6524,6557
1639518271,6521,6554
1639518990,6512,6545
1639519713,6508,6541
1639520428,6507,6540
1639521147,6506,6539
1639521869,6507,6540
1639522587,6506,6539
1639523309,6501,6534
1639524030,6500,6533
1639524990,6497,6530
1639525708,6501,6534
1639526442,6502,6535
1639527149,6501,6534
1639527867,6496,6529
1639528591,6497,6530
1639529311,6495,6528
1639530041,6497,6530
1639530990,6498,6531
1639531708,6499,6532
1639532429,6495,6528
1639533150,6499,6532
1639533871,6502,6535
1639534588,6500,6533
1639535308,6500,6533
1639536029,6499,6532
1639536989,6502,6536
1639537709,6501,6535
1639538429,6499,6533
1639539150,6500,6534
1639539871,6500,6534
1639540586,6506,6540
1639541307,6505,6539
1639542029,6508,6542
1639542748,6510,6544
1639543472,6512,6546
1639544189,6516,6550
1639545149,6517,6551
1639545870,6519,6553
1639546589,6519,6553
1639547310,6515,6549
1639548031,6514,6548
1639548747,6513,6547
1639549468,6511,6545
1639550191,6514,6547
1639550908,6516,6549
1639551640,6516,6549
1639552588,6518,6551
1639553308,6522,6555
1639554028,6525,6558
1639554748,6522,6555
1639555472,6520,6553
1639556189,6525,6558
1639556906,6531,6564
1639557628,6532,6565
1639558346,6531,6564
1639559070,6531,6564
1639559793,6527,6560
1639560507,6530,6563
1639561227,6533,6566
1639561947,6533,6566
1639562671,6534,6567
1639563392,6535,6568
1639564108,6539,6572
1639564829,6535,6568
1639565548,6531,6564
1639566270,6526,6559
1639567011,6524,6557
1639567712,6522,6555
1639568430,6519,6552
1639569151,6517,6550
1639569871,6516,6549
1639570587,6515,6548
1639571309,6517,6551
1639572269,6510,6544
1639572988,6504,6538
1639573708,6508,6542
1639574429,6507,6541
1639575150,6505,6539
1639575868,6503,6537
1639576592,6504,6538
1639577306,6504,6538
1639578031,6501,6535
1639578747,6499,6533
