DateTime,Entries,UniqueIPs
1639078325,2354,2478
1639080125,2357,2481
1639081324,2360,2485
1639081925,2357,2482
1639082525,2358,2483
1639083124,2324,2449
1639084325,2298,2423
1639084925,2295,2419
1639086125,2296,2420
1639086724,2296,2420
1639087325,2294,2418
1639088524,2294,2418
1639089125,2297,2423
1639090324,2300,2426
1639091524,2299,2425
1639092124,2298,2426
1639093325,2300,2426
1639093924,2301,2427
1639094524,2302,2428
1639095724,2301,2427
1639096925,2302,2428
1639098124,2305,2431
1639099324,2306,2432
1639099924,2302,2428
1639101124,2305,2431
1639101724,2302,2428
1639102924,2301,2427
1639104125,2299,2425
1639105324,2302,2428
1639106524,2300,2426
1639108324,2302,2428
1639108924,2298,2424
1639110124,2301,2427
1639111325,2302,2428
1639111924,2301,2427
1639113125,2303,2429
1639114325,2300,2426
1639115525,2303,2429
1639116724,2298,2424
1639117324,2297,2423
1639117924,2295,2416
1639119724,2295,2415
1639120324,2286,2405
1639121524,2291,2410
1639122124,2288,2407
1639122723,2289,2408
1639123324,2288,2407
1639123925,2290,2409
1639125125,2291,2410
1639126324,2291,2409
1639127524,2290,2408
1639128124,2291,2409
1639129924,2292,2410
1639130524,2287,2405
1639131725,2264,2382
1639132324,2234,2352
1639132924,2236,2354
1639134124,2232,2350
1639135324,2235,2353
1639135924,2238,2356
1639137124,2239,2357
1639138924,2242,2360
1639139524,2243,2361
1639141324,2244,2362
1639142524,2236,2354
1639143125,2237,2355
1639143724,2241,2359
1639144323,2241,2360
1639145525,2238,2357
1639146724,2234,2353
1639147924,2233,2352
1639148524,2225,2344
1639149724,2222,2341
1639151524,2221,2340
1639152124,2230,2349
1639152724,2229,2348
1639153324,2230,2349
1639156325,2232,2351
1639157524,2231,2350
1639158723,2230,2349
1639159324,2232,2352
1639159925,2228,2348
1639160524,2230,2350
1639162324,2228,2348
1639162924,2229,2349
1639164124,2228,2348
1639165924,2227,2347
1639166524,2224,2344
1639167724,2226,2346
1639168325,2227,2347
1639168925,2226,2346
1639169524,2228,2349
1639170725,2228,2349
1639171925,2231,2352
1639173124,2233,2354
1639175524,2233,2354
1639176724,2232,2353
1639177924,2235,2356
1639179125,2235,2356
1639179724,2232,2353
1639180324,2233,2354
1639181525,2229,2350
1639182724,2229,2350
1639183326,2228,2349
1639183924,2235,2356
1639184524,2242,2363
1639185125,2244,2365
1639186324,2245,2366
1639186925,2242,2363
1639188125,2243,2364
1639189924,2246,2367
1639193524,2249,2370
1639194124,2245,2366
1639194725,2250,2371
1639195324,2248,2369
1639198324,2232,2353
1639198924,2230,2351
1639200124,2260,2381
1639200725,2256,2377
1639201925,2257,2378
1639203125,2254,2375
1639204325,2255,2376
1639204925,2255,2375
1639205524,2253,2373
1639206124,2245,2365
1639207925,2244,2364
1639209124,2241,2361
1639210325,2191,2311
1639211525,2172,2292
1639212125,2171,2291
1639214524,2171,2292
1639216324,2232,2353
1639218125,2232,2353
1639219924,2229,2349
1639222323,2223,2343
1639225324,2220,2340
1639225924,2221,2341
1639226524,2220,2340
1639227124,2219,2339
1639228324,2222,2342
1639230124,2221,2341
1639230723,2218,2338
1639233124,2225,2345
1639234323,2215,2335
1639235525,2215,2336
1639236724,2212,2332
1639237324,2164,2282
1639239723,2166,2285
1639240324,2166,2285
1639241523,2165,2284
1639242724,2160,2279
1639245124,2158,2277
1639246923,2158,2276
1639248724,2159,2277
1639250524,2160,2278
1639251725,2161,2279
1639252323,2157,2275
1639254124,2155,2272
1639255924,2196,2313
1639257125,2197,2314
1639259523,2195,2312
1639260124,2194,2311
1639260724,2196,2313
1639261924,2197,2314
1639263123,2197,2316
1639263724,2196,2315
1639264924,2199,2318
1639266724,2196,2315
1639268524,2198,2318
1639269724,2162,2282
1639270324,2159,2279
1639271525,2158,2278
1639272724,2156,2276
1639273325,2157,2277
1639273924,2155,2275
1639275125,2158,2278
1639277525,2157,2277
1639278124,2158,2278
1639278725,2159,2279
1639283525,2159,2279
1639284124,2158,2278
1639284724,2152,2272
1639285324,2153,2273
1639286524,2155,2275
1639287726,2157,2277
1639288325,2182,2302
1639288924,2185,2305
1639290124,2188,2308
1639290725,2189,2309
1639291924,2189,2309
1639292524,2190,2310
1639293124,2191,2311
1639293724,2192,2312
1639294325,2192,2313
1639294924,2191,2312
1639295524,2192,2313
1639296124,2194,2315
1639297925,2193,2314
1639298525,2193,2314
1639299724,2194,2315
1639300325,2189,2310
1639302124,2169,2290
1639302725,2170,2291
1639304524,2171,2292
1639305124,2225,2346
1639305725,2226,2347
1639306925,2226,2347
1639308724,2223,2344
1639310524,2222,2343
1639311724,2215,2336
1639312324,2212,2333
1639314725,2205,2326
1639315324,2206,2327
1639315925,2207,2328
1639317724,2200,2321
1639319524,2192,2313
1639323124,2193,2314
1639324324,2194,2315
1639324924,2195,2316
1639325524,2194,2315
1639327325,2191,2313
1639327924,2192,2314
1639329125,2192,2314
1639330324,2194,2318
1639331523,2195,2319
1639333324,2195,2319
1639333924,2196,2320
1639334524,2195,2319
1639336324,2198,2322
1639336924,2199,2323
1639337524,2200,2323
1639339324,2201,2324
1639340524,2210,2333
1639341724,2207,2330
1639342924,2212,2335
1639345325,2213,2336
1639346524,2212,2335
1639347126,2215,2338
1639347724,2219,2346
1639348324,2217,2344
1639349524,2219,2347
